,z_score
2013-12-25 15:50:00+01:00,-6.8470138599479204
2013-12-25 13:40:00+01:00,-6.81397371985444
2013-12-25 14:40:00+01:00,-6.693837760129828
2013-12-25 15:40:00+01:00,-6.642823557064698
2013-12-25 15:10:00+01:00,-6.6121201310761615
2013-12-25 13:10:00+01:00,-6.579755504170713
2013-12-25 16:00:00+01:00,-6.547237992801879
2013-12-25 15:30:00+01:00,-6.518870449466887
2013-12-25 15:20:00+01:00,-6.436561437237697
2013-12-25 14:00:00+01:00,-6.3784914810052005
2013-12-25 12:50:00+01:00,-6.350924479645311
2013-12-25 14:30:00+01:00,-6.318072080844625
2013-12-25 13:20:00+01:00,-6.270826391692047
2013-12-25 13:30:00+01:00,-6.234378498799123
2013-12-25 16:40:00+01:00,-6.2241870679527045
2013-12-25 13:50:00+01:00,-6.120784382186038
2013-12-25 16:30:00+01:00,-6.115939997779185
2013-12-25 16:10:00+01:00,-6.111264826297583
2013-12-25 14:50:00+01:00,-6.07187068495205
2013-12-25 14:10:00+01:00,-5.960516153475926
2013-12-25 13:00:00+01:00,-5.938614735562885
2013-12-25 14:20:00+01:00,-5.932386094876012
2013-12-25 11:30:00+01:00,-5.835523251112904
2013-12-25 12:20:00+01:00,-5.7600945736722355
2013-12-25 11:20:00+01:00,-5.738903134602862
2013-12-25 16:50:00+01:00,-5.728545262990699
2013-12-25 11:00:00+01:00,-5.62247937536372
2013-12-25 17:20:00+01:00,-5.584111921047726
2013-12-25 15:00:00+01:00,-5.55813019121481
2013-12-25 11:40:00+01:00,-5.5479205312378115
2013-12-25 12:40:00+01:00,-5.425339076001239
2013-12-25 12:00:00+01:00,-5.398019134469369
2013-12-25 12:10:00+01:00,-5.3819018943702135
2013-12-25 10:50:00+01:00,-5.348195707714893
2013-12-25 11:50:00+01:00,-5.289743678420507
2013-12-25 12:30:00+01:00,-5.262321131743608
2013-12-25 16:20:00+01:00,-5.228994957089103
2013-12-25 17:00:00+01:00,-5.190809653020512
2013-12-25 17:40:00+01:00,-5.1335056074202745
2013-12-25 17:50:00+01:00,-5.078309042777883
2013-12-01 08:40:00+01:00,-4.935107692101993
2013-11-03 09:20:00+01:00,-4.850708779262504
2013-12-25 11:10:00+01:00,-4.849522829707548
2013-12-25 10:40:00+01:00,-4.791544066093803
2013-11-02 08:20:00+01:00,-4.6432347684175745
2013-12-25 17:30:00+01:00,-4.633496661259518
2013-11-02 08:50:00+01:00,-4.614770374881983
2013-12-25 17:10:00+01:00,-4.608493453760836
2013-11-02 08:10:00+01:00,-4.509142098349216
2013-11-10 09:40:00+01:00,-4.507751546955121
2013-11-02 08:40:00+01:00,-4.500800502640067
2013-12-01 07:50:00+01:00,-4.482506812794327
2013-12-01 08:50:00+01:00,-4.478487754699864
2013-12-25 19:20:00+01:00,-4.473534889794777
2013-11-03 09:10:00+01:00,-4.4536311243068205
2013-12-25 10:20:00+01:00,-4.441969271423493
2013-11-17 08:40:00+01:00,-4.415710170456785
2013-12-01 09:00:00+01:00,-4.409103105372934
2013-11-01 09:00:00+01:00,-4.3447911437682
2013-12-01 09:20:00+01:00,-4.323065539742103
2013-11-17 09:30:00+01:00,-4.303928724578773
2013-12-25 18:00:00+01:00,-4.300534092216736
2013-11-03 08:20:00+01:00,-4.2999160698649455
2013-12-01 09:10:00+01:00,-4.299644978554902
2013-11-03 09:00:00+01:00,-4.285565537419563
2013-11-02 09:00:00+01:00,-4.285523178430839
2013-12-25 10:30:00+01:00,-4.2754754372102
2013-11-10 09:30:00+01:00,-4.263813873462655
2013-11-10 09:10:00+01:00,-4.262508017295895
2013-11-24 09:20:00+01:00,-4.20447022461062
2013-11-24 09:00:00+01:00,-4.198456645770975
2013-11-03 08:30:00+01:00,-4.174172382982446
2013-11-17 08:30:00+01:00,-4.1299008324571105
2013-12-25 18:20:00+01:00,-4.124891951623562
2013-12-25 09:50:00+01:00,-4.123941252100898
2013-11-03 09:30:00+01:00,-4.108844365552565
2013-11-02 08:00:00+01:00,-4.047583470954617
2013-11-03 08:40:00+01:00,-4.03848656297703
2013-12-01 08:20:00+01:00,-4.0230000302152895
2013-12-31 23:00:00+01:00,4.109348769598954
2014-01-01 03:10:00+01:00,4.111183828415008
2014-01-01 02:20:00+01:00,4.139499608931965
2014-01-01 01:50:00+01:00,4.140620927410538
2013-12-31 22:50:00+01:00,4.225619907793763
2014-01-01 01:40:00+01:00,4.232920171762696
2014-01-01 02:10:00+01:00,4.298131366170245
2014-01-01 02:00:00+01:00,4.33227969998862
2013-11-25 01:50:00+01:00,4.346853073192524
2013-11-18 00:30:00+01:00,4.379427771038766
2014-01-01 01:30:00+01:00,4.470963435800337
2013-12-31 23:10:00+01:00,4.5032532729859485
2013-12-31 23:20:00+01:00,4.74124754907843
2013-11-15 04:00:00+01:00,4.773549124130594
2014-01-01 01:20:00+01:00,5.29562551459858
2013-12-31 23:40:00+01:00,5.363130200355288
2014-01-01 01:10:00+01:00,5.545612361424071
2013-12-31 23:50:00+01:00,5.701611743956014
2013-12-31 23:30:00+01:00,5.823861648409963
2014-01-01 00:00:00+01:00,6.105928333585363
2013-11-18 00:50:00+01:00,6.189001572709633
2014-01-01 01:00:00+01:00,6.2491033828792
2014-01-01 00:50:00+01:00,6.862304649995333
2014-01-01 00:20:00+01:00,7.129019561743443
2014-01-01 00:30:00+01:00,7.8364458050799435
2014-01-01 00:10:00+01:00,8.04428064984936
2014-01-01 00:40:00+01:00,8.30521493726544
