,SARIMA,SARIMA,SARIMA,LSTM,LSTM,LSTM,TCN,TCN,TCN
,mae,mean_actual,relative_%,mae,mean_actual,relative_%,mae,mean_actual,relative_%
hour,,,,,,,,,
0,77.165,464.448,16.614,51.486,464.448,11.085,53.27,464.448,11.469
1,43.609,347.178,12.561,29.978,347.178,8.635,36.117,347.178,10.403
2,26.305,299.985,8.769,19.435,299.985,6.479,20.035,299.985,6.679
3,21.866,274.742,7.959,19.174,274.742,6.979,20.068,274.742,7.304
4,21.021,268.307,7.835,14.535,268.307,5.417,18.486,268.307,6.89
5,28.154,280.838,10.025,23.491,280.838,8.364,23.709,280.838,8.442
6,30.206,306.512,9.855,27.899,306.512,9.102,26.82,306.512,8.75
7,52.489,421.343,12.458,41.483,421.343,9.845,45.334,421.343,10.759
8,82.297,747.446,11.01,42.976,747.446,5.75,46.35,747.446,6.201
9,106.095,1200.261,8.839,70.811,1200.261,5.9,73.435,1200.261,6.118
10,126.5,1591.932,7.946,79.61,1591.932,5.001,84.958,1591.932,5.337
11,137.91,2005.548,6.876,84.519,2005.548,4.214,91.453,2005.548,4.56
12,134.307,2331.472,5.761,89.125,2331.472,3.823,88.904,2331.472,3.813
13,142.081,2638.691,5.385,104.284,2638.691,3.952,99.833,2638.691,3.783
14,140.89,2611.193,5.396,113.01,2611.193,4.328,115.991,2611.193,4.442
15,137.385,2581.707,5.321,111.784,2581.707,4.33,110.608,2581.707,4.284
16,187.738,2642.239,7.105,121.466,2642.239,4.597,120.799,2642.239,4.572
17,134.802,2495.458,5.402,113.592,2495.458,4.552,105.044,2495.458,4.209
18,119.016,2092.754,5.687,124.344,2092.754,5.942,135.872,2092.754,6.492
19,124.855,1602.517,7.791,112.551,1602.517,7.023,123.917,1602.517,7.733
20,57.611,1122.617,5.132,73.914,1122.617,6.584,70.623,1122.617,6.291
21,71.859,818.865,8.775,49.333,818.865,6.025,52.301,818.865,6.387
22,57.817,668.027,8.655,36.791,668.027,5.507,36.097,668.027,5.404
23,81.042,556.498,14.563,57.956,556.498,10.414,52.79,556.498,9.486
