model,square_id,partition,MAE,RMSE,MAPE_%,sMAPE_%,R2,RMSE/MAE,MASE,train_seconds,inference_seconds,inference_ms_per_step,n_parameters,best_epoch,hyperparameters,notes
Persistence,5161,test,92.8019,134.8777,9.1943,9.0965,0.9902,1.4534,0.2741,0.0,0.0779,0.0773,0,,"{""lookback"": 1}","closed form, no parameters estimated"
Seasonal naive,5161,test,338.5937,619.04,25.9398,22.8281,0.7934,1.8283,1.0,0.0,0.0689,0.0683,0,,"{""period"": 144, ""lookback"": 1}","closed form, seasonal period 144 steps"
SARIMA,5161,test,108.0351,163.0513,10.5741,10.3276,0.9857,1.5092,0.3191,1.078,0.1399,0.1388,3,,"{""p"": 1, ""d"": 0, ""q"": 1, ""seasonal_period"": 144, ""trend"": ""n"", ""lookback"": 1}","SARIMA(1,0,1)(0,1,0)[144], AIC=-1161.7, log1p scale"
LSTM,5161,test,93.1177,147.0112,8.3645,8.1753,0.9884,1.5788,0.275,1929.035,1.5033,1.4914,17217,18.0,"{""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.0, ""batch_size"": 128, ""lr"": 0.001, ""lookback"": 144}","17,217 params, best epoch 18 of 22 run, val MAE 107.27 [TIME BUDGET REACHED]"
TCN,5161,test,78.4925,119.5778,7.4956,7.367,0.9923,1.5234,0.2318,1371.378,0.6388,0.6337,5601,27.0,"{""channels"": 16, ""levels"": 4, ""kernel"": 3, ""dropout"": 0.1, ""receptive_field"": 61, ""batch_size"": 256, ""lr"": 0.002, ""lookback"": 144}","5,601 params, best epoch 27 of 34 run, val MAE 102.46"
Persistence,5059,test,81.5169,114.375,7.9591,7.9089,0.9851,1.4031,0.4747,0.0,0.0715,0.0709,0,,"{""lookback"": 1}","closed form, no parameters estimated"
Seasonal naive,5059,test,171.7357,245.8702,18.0185,16.621,0.9313,1.4317,1.0,0.0,0.0817,0.081,0,,"{""period"": 144, ""lookback"": 1}","closed form, seasonal period 144 steps"
SARIMA,5059,test,89.2925,127.9042,8.6255,8.5088,0.9814,1.4324,0.5199,1.666,0.1164,0.1155,3,,"{""p"": 1, ""d"": 0, ""q"": 1, ""seasonal_period"": 144, ""trend"": ""n"", ""lookback"": 1}","SARIMA(1,0,1)(0,1,0)[144], AIC=-2770.1, log1p scale"
LSTM,5059,test,67.2311,97.8792,6.4511,6.4197,0.9891,1.4559,0.3915,817.927,0.2798,0.2776,17217,25.0,"{""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.0, ""batch_size"": 128, ""lr"": 0.001, ""lookback"": 144}","17,217 params, best epoch 25 of 32 run, val MAE 85.35"
TCN,5059,test,68.8672,99.4785,6.874,6.7299,0.9888,1.4445,0.401,193.046,0.2268,0.225,5601,14.0,"{""channels"": 16, ""levels"": 4, ""kernel"": 3, ""dropout"": 0.1, ""receptive_field"": 61, ""batch_size"": 256, ""lr"": 0.002, ""lookback"": 144}","5,601 params, best epoch 14 of 21 run, val MAE 84.56"
Persistence,5259,test,75.9675,109.5784,8.1148,8.0741,0.9904,1.4424,0.1615,0.0,0.0463,0.0459,0,,"{""lookback"": 1}","closed form, no parameters estimated"
Seasonal naive,5259,test,470.3205,861.6206,71.621,42.6127,0.4093,1.832,1.0,0.0,0.0472,0.0468,0,,"{""period"": 144, ""lookback"": 1}","closed form, seasonal period 144 steps"
SARIMA,5259,test,81.7759,123.3339,8.7216,8.6599,0.9879,1.5082,0.1739,0.743,0.0888,0.0881,3,,"{""p"": 1, ""d"": 0, ""q"": 1, ""seasonal_period"": 144, ""trend"": ""n"", ""lookback"": 1}","SARIMA(1,0,1)(0,1,0)[144], AIC=-3380.4, log1p scale"
LSTM,5259,test,67.3207,96.8137,7.2136,7.1513,0.9925,1.4381,0.1431,266.703,0.2783,0.2761,17217,38.0,"{""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.0, ""batch_size"": 128, ""lr"": 0.001, ""lookback"": 144}","17,217 params, best epoch 38 of 40 run, val MAE 78.53"
TCN,5259,test,64.7446,93.2998,7.1115,6.9338,0.9931,1.441,0.1377,369.03,0.2461,0.2441,5601,38.0,"{""channels"": 16, ""levels"": 4, ""kernel"": 3, ""dropout"": 0.1, ""receptive_field"": 61, ""batch_size"": 256, ""lr"": 0.002, ""lookback"": 144}","5,601 params, best epoch 38 of 40 run, val MAE 75.20"
