date,raw_mb,rows,rows_out_of_range,nonzero_cells,parse_seconds,peak_rss_mb,downloaded
2013-11-01,307.9,4842625,0,1439946,9.48,140.5,False
2013-11-02,300.6,4745086,0,1439902,9.33,150.0,False
2013-11-11,335.6,5478993,0,1439885,9.15,140.9,True
2013-11-12,341.7,5597591,0,1439838,17.91,149.4,True
2013-11-13,345.7,5689517,0,1439837,11.72,155.7,True
2013-11-14,346.7,5703373,0,1439841,10.46,160.5,True
2013-11-15,347.9,5708802,0,1439835,18.17,163.2,True
2013-11-16,306.2,4847779,0,1439828,11.25,161.5,True
2013-11-17,293.0,4611954,0,1439814,9.79,178.4,True
2013-11-18,332.2,5417835,0,1439826,10.86,184.4,True
2013-11-19,340.0,5577668,0,1439839,20.31,178.9,True
2013-11-20,343.5,5643712,0,1439825,12.65,191.5,True
2013-11-21,342.1,5616011,0,1439853,13.52,198.6,True
2013-11-22,343.6,5634579,0,1439847,9.85,196.8,True
2013-11-23,302.7,4779119,0,1439826,17.53,209.6,True
2013-11-24,289.9,4548405,0,1439827,13.19,212.3,True
2013-11-25,329.3,5365586,0,1439817,10.64,217.2,True
2013-11-26,335.7,5491322,0,1439610,10.92,224.6,True
2013-11-27,333.6,5448926,0,1439747,13.49,228.7,True
2013-11-28,334.6,5472300,0,1439439,10.82,206.6,True
2013-11-29,335.3,5482752,0,1438899,9.87,217.4,True
2013-11-30,297.0,4666027,0,1438775,18.09,223.9,True
2013-12-01,284.9,4438331,0,1438635,18.86,233.7,True
2013-12-02,326.1,5320367,0,1437660,10.78,218.2,True
2013-12-03,337.6,5545148,0,1437041,18.09,228.6,True
2013-12-04,335.7,5501001,0,1436860,23.47,238.1,True
2013-12-05,337.1,5523429,0,1436742,22.91,240.9,True
2013-12-06,337.6,5525307,0,1436594,23.46,215.2,True
2013-12-07,292.9,4590100,0,1436385,21.97,111.8,True
2013-12-08,280.1,4357172,0,1436294,14.14,117.6,True
2013-12-09,323.3,5252874,0,1436346,15.38,119.1,True
2013-12-10,333.1,5455708,0,1436438,22.23,127.1,True
2013-12-11,335.1,5483990,0,1436296,29.23,136.0,True
2013-12-12,337.5,5538445,0,1436363,20.96,139.3,True
2013-12-13,335.2,5467246,0,1436369,28.37,145.4,True
2013-12-14,295.7,4634809,0,1436247,15.58,127.3,True
2013-12-15,282.9,4412002,0,1436185,9.58,130.1,True
2013-12-16,326.8,5320759,0,1436377,12.56,137.7,True
2013-12-17,334.8,5476473,0,1436545,19.79,146.8,True
2013-12-18,334.7,5472133,0,1436418,11.92,149.8,True
2013-12-19,339.9,5572121,0,1436281,11.35,155.1,True
2013-12-20,333.2,5410674,0,1435397,18.9,133.6,True
2013-12-21,299.1,4705979,0,1435286,9.52,133.8,True
2013-12-22,287.1,4482939,0,1434985,7.39,137.8,True
2013-12-23,311.5,4986627,0,1435248,8.13,150.6,True
2013-12-24,313.4,5014066,0,1433342,20.5,155.1,True
2013-12-25,309.6,4907775,0,1433042,12.32,141.4,True
2013-12-26,268.1,4162680,0,1432935,13.57,147.7,True
2013-12-27,289.3,4547803,0,1433129,11.34,125.7,True
2013-12-28,272.1,4204331,0,1433050,16.45,132.0,True
2013-12-29,264.6,4071711,0,1433057,11.66,139.2,True
2013-12-30,286.6,4508084,0,1433124,20.11,126.6,True
2013-12-31,309.2,4968039,0,1433116,14.19,133.3,True
2014-01-01,314.2,4930163,0,1432827,15.42,132.3,True
2013-11-03,298.6,4722579,0,1439855,9.69,138.4,False
2013-11-04,344.4,5639488,0,1439873,10.27,149.7,False
2013-11-05,355.6,5874140,0,1439887,10.96,153.9,False
2013-11-06,357.3,5912097,0,1439877,11.78,155.1,False
2013-11-07,355.8,5886883,0,1439873,11.29,158.7,False
2013-11-08,358.7,5918856,0,1439883,10.95,165.2,False
2013-11-09,317.0,5052416,0,1439880,10.1,177.2,False
2013-11-10,299.9,4731582,0,1439875,8.18,178.7,False
